PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.053 uM,Activity at 0.263 uM,Activity at 1.320 uM,Activity at 6.580 uM,Activity at 32.90 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
169,17431646,787868,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000552962-01,,Activator,12.5893,176.708,,Partial curve; high efficacy,-4.9,4.5045,0.9998,180.219,3.5103,2.1,0 0 0 0,177.73,,2.2132,4.844,13.8136,177.73,QC'd by Asinex Ltd.
170,17431730,2866345,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000552264-01,,Activator,12.5893,214.528,,Partial curve; high efficacy,-4.9,4.9549,1,229.462,14.9345,2.1,0 0 0 0,227.641,,15.6639,14.2905,22.9889,227.641,QC'd by Asinex Ltd.
171,17431915,135425007,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000577519-01,,Activator,11.2202,201.325,,Partial curve; high efficacy,-4.95,3.2475,0.9971,210.359,9.0335,2.1,0 0 0 0,203.836,,3.0926,15.4915,40.3552,203.836,QC'd by ChemBridge
172,17432107,2958650,Active,52,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000581529-01,,Activator,17.7828,996.497,,Partial curve; high efficacy,-4.75,4.9549,1,996.497,0,2.1,0 0 0 0,949.045,,1.2929,4.7826,6.4536,949.045,QC'd by ChemBridge
173,17432251,2947452,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000579906-01,,Activator,12.5893,91.8257,,Partial curve; partial efficacy,-4.9,1.8579,0.9931,84.9146,-6.9111,2.2,0 0 0 0,71.7861,,-10.2574,-1.4816,13.8138,71.7861,QC'd by ChemBridge
174,17432256,5390233,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000569579-01,,Activator,14.1254,345.759,,Partial curve; high efficacy,-4.85,4.5045,1,357.676,11.9169,2.1,0 0 0 0,350.663,,12.1006,10.1785,22.2825,350.663,QC'd by ChemBridge
175,17432261,2963841,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000581650-01,,Activator,14.1254,211.503,,Partial curve; high efficacy,-4.85,4.095,0.9932,214.117,2.6145,2.1,0 0 0 0,207.478,,-7.6828,12.6818,12.3412,207.478,QC'd by ChemBridge
176,17432298,974405,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000581675-01,,Activator,7.9433,79.9534,,Partial curve; partial efficacy,-5.1,1.3443,1,84.5178,4.5644,2.2,0 0 0 0,74.0371,,5.3261,11.2626,39.7401,74.0371,QC'd by ChemBridge
177,17432377,135425020,Active,96,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000595208-01,,Activator,2.5119,292.995,,Complete curve; high efficacy,-5.6,2.7868,0.9999,295.905,2.9093,1.1,0 0 0 0,295.314,,4.3855,42.5047,276.115,295.314,QC'd by ChemBridge
178,17432394,135425023,Active,89,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000595131-01,,Activator,3.9811,200.714,,Complete curve; high efficacy,-5.4,4.9549,0.9972,197.296,-3.4184,1.1,0 0 0 0,199.288,,3.3634,-9.8189,179.904,199.288,QC'd by ChemBridge
179,17432509,135425029,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573117-01,,Activator,10,144.88,,Partial curve; high efficacy,-5,2.7202,0.9838,146.822,1.942,2.1,0 0 0 0,140.634,,11.4187,-8.3114,39.3773,140.634,QC'd by ChemBridge
180,17432516,135425030,Active,54,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000579105-01,,Activator,3.9811,313.747,,Partial curve; high efficacy,-5.4,3.2975,1,311.182,-2.5648,2.1,0 0 0 1,-88.7526,,-3.2367,5.0897,260.621,-88.7526,QC'd by ChemBridge
181,17432604,2837672,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573148-01,,Activator,11.2202,67.4573,,Partial curve; partial efficacy,-4.95,2.3332,0.9406,71.8308,4.3735,2.2,0 0 0 0,66.4904,,14.6339,-1.9057,20.9196,66.4904,QC'd by ChemBridge
182,17432631,2836853,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573079-01,,Activator,22.3872,73.688,,Partial curve; partial efficacy,-4.65,4.9549,0.9919,85.188,11.5,2.2,0 0 0 0,75.7645,,14.353,12.8838,7.8022,75.7645,QC'd by ChemBridge
183,17432641,135425036,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573100-01,,Activator,14.1254,152.18,,Partial curve; high efficacy,-4.85,4.5045,0.9757,165.343,13.1636,2.1,0 0 0 0,162.101,,-1.2843,27.2098,17.8867,162.101,QC'd by ChemBridge
184,17432644,135425037,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573109-01,,Activator,12.5893,66.831,,Partial curve; partial efficacy,-4.9,3.6772,0.9736,81.8675,15.0365,2.2,0 0 0 0,79.8528,,9.1224,21.7863,20.4881,79.8528,QC'd by ChemBridge
185,17432648,5711036,Active,54,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573216-01,,Activator,2.5119,275.047,,Partial curve; high efficacy,-5.6,1.5386,1,263.237,-11.8103,2.1,0 0 0 1,72.4572,,-3.5273,62.3714,212.975,72.4572,QC'd by ChemBridge
186,17432694,5717122,Active,58,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000569604-01,,Activator,3.5481,372.097,,Partial curve; high efficacy,-5.45,3.132,1,385.093,12.9959,2.1,0 0 0 1,-3.7037,,12.9024,28.4076,337.801,-3.7037,QC'd by ChemBridge
187,17432783,2945579,Active,51,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000579554-01,,Activator,3.1623,216.178,,Partial curve; high efficacy,-5.5,4.9549,1,218.279,2.1016,2.1,0 0 0 1,-6.8064,,2.5913,5.2983,212.748,-6.8064,QC'd by ChemBridge
188,17432799,980571,Active,50,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000574551-01,,Activator,2.5119,189.612,,Partial curve; high efficacy,-5.6,3.5722,1,189.612,0,2.1,1 0 0 1,-1.8944,,186.383,17.3161,183.733,-1.8944,QC'd by ChemBridge
189,17433006,2192679,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000579303-01,,Activator,10,132.822,,Partial curve; high efficacy,-5,3.5722,0.9944,128.308,-4.5145,2.1,0 0 0 0,126.536,,1.3422,-10.021,19.6448,126.536,QC'd by ChemBridge
190,17433370,2896518,Active,100,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573359-01,,Activator,1.7783,486.683,,Complete curve; high efficacy,-5.75,4.9549,0.9139,475.014,-11.6681,1.1,0 0 0 0,377.817,,-9.7234,78.7846,569.562,377.817,QC'd by ChemBridge
191,17433524,2177567,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000577390-01,,Activator,12.5893,85.4603,,Partial curve; partial efficacy,-4.9,1,0.9469,84.6454,-0.8148,2.2,0 0 0 0,64.4865,,-4.8724,15.4547,23.7739,64.4865,QC'd by ChemBridge
192,17433535,5735464,Active,92,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000575900-01,,Activator,2.2387,208.101,,Complete curve; high efficacy,-5.65,3.9295,0.996,213.474,5.3728,1.1,0 0 0 0,205.105,,4.7108,29.1173,219.623,205.105,QC'd by ChemBridge
193,17433551,2897727,Active,96,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573463-01,,Activator,2.5119,297.701,,Complete curve; high efficacy,-5.6,4.9549,0.9175,291.568,-6.1326,1.1,0 0 0 0,230.554,,2.787,-3.6387,349.602,230.554,QC'd by ChemBridge
194,17433663,2057784,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000577655-01,,Activator,2.5119,107.812,,Partial curve; high efficacy,-5.6,1.5936,1,99.5914,-8.2205,2.1,0 0 0 1,3.8631,,-5.3571,19.957,80.4818,3.8631,QC'd by ChemBridge
195,17433751,5333818,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000576565-01,,Activator,11.2202,239.613,,Partial curve; high efficacy,-4.95,1.2876,1,237.076,-2.5377,2.1,0 0 0 0,189.056,,-1.3215,11.7896,77.027,189.056,QC'd by ChemBridge
196,17433794,1308688,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000577980-01,,Activator,7.0795,114.476,,Partial curve; high efficacy,-5.15,1.8265,0.993,116.066,1.5897,2.1,0 0 0 0,107.468,,4.8659,1.4881,58.5445,107.468,QC'd by ChemBridge
197,17433825,2931388,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000578271-01,,Activator,11.2202,262.323,,Partial curve; high efficacy,-4.95,3.6272,0.9964,269.954,7.631,2.1,0 0 0 0,264.661,,-1.401,16.6307,42.5201,264.661,QC'd by ChemBridge
198,17434114,3697247,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573248-01,,Activator,3.9811,133.72,,Partial curve; high efficacy,-5.4,4.095,1,152.077,18.3575,2.1,0 0 0 1,1.8726,,18.571,19.9376,137.006,1.8726,QC'd by ChemBridge
199,17503809,135497920,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000594886-01,,Activator,5.0119,216.941,,Partial curve; high efficacy,-5.3,1.8617,0.9992,202.527,-14.4137,2.1,0 0 0 0,199.731,,-12.8974,1.6278,117.875,199.731,QC'd by InterBioScreen
200,17503873,3108106,Active,86,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000547641-01,,Activator,2.8184,103.356,,Complete curve; high efficacy,-5.55,3.5117,1,105.932,2.5762,1.1,0 0 0 0,105.72,,2.6728,9.0873,101.35,105.72,QC'd by Asinex Ltd.
201,17503937,135497926,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585546-01,,Activator,10,153.284,,Partial curve; high efficacy,-5,2.8473,0.9998,154.029,0.7447,2.1,0 0 0 0,149.253,,1.8975,0.3038,35.6012,149.253,QC'd by Chem Div
202,17504016,2922056,Active,54,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000553854-01,,Activator,3.1623,289.425,,Partial curve; high efficacy,-5.5,3.132,1,285.033,-4.3928,2.1,0 0 0 1,-59.5058,,-4.7562,14.317,258.182,-59.5058,QC'd by Asinex Ltd.
203,17504159,9579733,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585596-01,,Activator,22.3872,281.39,,Partial curve; high efficacy,-4.65,4.9549,0.9982,288.903,7.5126,2.1,0 0 0 0,253.423,,14.9617,3.0036,6.2223,253.423,QC'd by Chem Div
204,17504182,4263719,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589724-01,,Activator,14.1254,113.069,,Partial curve; high efficacy,-4.85,4.9549,0.9696,119.431,6.3612,2.1,0 0 0 0,117.782,,-4.3692,19.3284,9.1405,117.782,QC'd by InterBioScreen
205,17504207,135497940,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585438-01,,Activator,15.8489,194.083,,Partial curve; high efficacy,-4.8,4.095,0.9993,194.958,0.8748,2.1,0 0 0 0,185.674,,-1.612,4.0954,6.435,185.674,QC'd by Chem Div
206,17504272,135421713,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000548821-01,,Activator,8.9125,114.392,,Partial curve; high efficacy,-5.05,2.4064,0.9867,102.817,-11.5754,2.1,0 0 0 0,97.3641,,-5.186,-18.3226,27.432,97.3641,QC'd by Asinex Ltd.
207,17504280,4588832,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000586096-01,,Activator,12.5893,54.286,,Partial curve; partial efficacy,-4.9,4.095,0.9949,71.8683,17.5823,2.2,0 0 0 0,70.9648,,15.5533,20.0991,21.0994,70.9648,QC'd by Chem Div
208,17504314,12004489,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000586454-01,,Activator,14.1254,311.984,,Partial curve; high efficacy,-4.85,4.9549,1,330.463,18.4794,2.1,0 0 0 0,325.901,,19.1589,17.9101,24.6007,325.901,QC'd by Chem Div
209,17504375,1386886,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000591869-01,,Activator,10,136.715,,Partial curve; high efficacy,-5,2.7868,0.9999,128.567,-8.1478,2.1,0 0 0 0,123.86,,-7.5281,-8.4437,24.8378,123.86,QC'd by InterBioScreen
210,17504502,6889494,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000580868-01,,Activator,19.9526,139.682,,Partial curve; high efficacy,-4.7,4.9549,0.9499,149.21,9.5276,2.1,0 0 0 0,138.157,,11.4137,30.4287,-3.2555,138.157,QC'd by InterBioScreen
211,17504504,135470890,Active,100,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000555097-01,,Activator,1.2589,364.727,,Complete curve; high efficacy,-5.9,2.7202,0.9898,360.952,-3.7752,1.1,0 0 0 0,340.053,,0.8334,192.448,378.356,340.053,QC'd by Asinex Ltd.
212,17504691,2931982,Active,78,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000578559-01,,Activator,3.1623,758.985,,Partial curve; high efficacy,-5.5,2.5334,1,765.547,6.5621,2.1,0 0 0 1,95.1372,,8.3302,80.858,664.537,95.1372,QC'd by ChemBridge
213,17504838,667573,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000575409-01,,Activator,5.0119,99.7988,,Partial curve; high efficacy,-5.3,1.7885,0.9998,110.505,10.7067,2.1,0 0 0 0,106.46,,10.5943,19.349,73.0609,106.46,QC'd by ChemBridge
214,17504850,135497964,Active,50,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585509-01,,Activator,10,397.578,,Partial curve; high efficacy,-5,4.9549,0.9998,401.576,3.9977,2.1,0 0 0 0,400.775,,7.8541,1.0019,47.9025,400.775,QC'd by Chem Div
215,17504886,135497968,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585466-01,,Activator,11.2202,176.947,,Partial curve; high efficacy,-4.95,4.045,0.9824,180.552,3.6048,2.1,0 0 0 0,178.059,,-10.3409,17.3737,23.1297,178.059,QC'd by Chem Div
216,17505042,135444136,Active,56,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000555027-01,,Activator,3.5481,329.51,,Partial curve; high efficacy,-5.45,4.095,1,331.033,1.5232,2.1,0 0 0 1,7.6536,,1.8785,7.2471,306.512,7.6536,QC'd by Asinex Ltd.
217,17505093,135497974,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585439-01,,Activator,7.9433,169.227,,Partial curve; high efficacy,-5.1,1.8851,0.9976,166.34,-2.8866,2.1,0 0 0 0,154.019,,1.4088,-1.7564,67.8719,154.019,QC'd by Chem Div
218,17505099,135497975,Active,62,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000332414-01,,Activator,2.8184,422.688,,Partial curve; high efficacy,-5.55,2.1876,1,413.032,-9.6561,2.1,0 0 0 1,-50.2796,,-8.0468,57.834,356.677,-50.2796,QC'd by InterBioScreen
219,17505139,5331443,Active,54,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000568790-01,,Activator,5.6234,359.382,,Partial curve; high efficacy,-5.25,0.8,0.9148,371.429,12.0472,2.1,0 0 0 0,325.815,,24.6358,136.237,162.877,325.815,QC'd by Asinex Ltd.
220,17505336,1136282,Active,49,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000553916-01,,Activator,5.0119,227.921,,Partial curve; high efficacy,-5.3,3.0654,0.9934,234.005,6.0841,2.1,0 0 0 0,234.944,,17.5701,-0.8242,161.964,234.944,QC'd by Asinex Ltd.
221,17505389,135497984,Active,53,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000553784-01,,Activator,7.0795,394.339,,Partial curve; high efficacy,-5.15,1.8851,0.9959,394.339,0,2.1,0 0 0 0,371.317,,12.5538,1.9105,188.992,371.317,QC'd by Asinex Ltd.
222,17505390,135497985,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000331854-01,,Activator,14.1254,249.624,,Partial curve; high efficacy,-4.85,4.5045,0.9994,251.827,2.2033,2.1,0 0 0 0,246.889,,-1.2659,6.1047,9.7215,246.889,QC'd by InterBioScreen
223,17505547,1389181,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000331543-01,,Activator,15.8489,136.825,,Partial curve; high efficacy,-4.8,1.6604,0.9438,147.844,11.0186,2.1,0 0 0 0,117.336,,-0.65,29.7694,32.602,117.336,QC'd by InterBioScreen
224,17505593,4885837,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000332157-01,,Activator,12.5893,238.962,,Partial curve; high efficacy,-4.9,4.5045,0.9976,247.437,8.4744,2.1,0 0 0 0,244.02,,15.626,1.8942,21.0971,244.02,QC'd by InterBioScreen
225,17505611,135497995,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589649-01,,Activator,7.9433,266.363,,Partial curve; high efficacy,-5.1,0.9,0.9999,252.679,-13.684,2.1,0 0 0 0,194.969,,-1.5761,29.9721,106.854,194.969,QC'd by InterBioScreen
226,17505645,135420774,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000331375-01,,Activator,11.2202,51.4361,,Partial curve; partial efficacy,-4.95,4.5045,0.9928,63.3074,11.8712,2.2,0 0 0 0,63.1193,,9.4072,14.6072,15.9572,63.1193,QC'd by InterBioScreen
227,17505677,5552799,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000331503-01,,Activator,10,126.079,,Partial curve; high efficacy,-5,3.99,1,139.853,13.7734,2.1,1 0 0 0,138.743,,23.78,13.5299,33.6773,138.743,QC'd by InterBioScreen
228,17505737,135497998,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000591937-01,,Activator,4.4668,118.416,,Partial curve; high efficacy,-5.35,2.1211,0.9999,124.214,5.7983,2.1,0 0 0 0,122.499,,6.5329,13.5935,87.6691,122.499,QC'd by InterBioScreen
229,17505762,3450258,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000331553-01,,Activator,12.5893,59.1114,,Partial curve; partial efficacy,-4.9,4.5045,0.9287,61.7045,2.593,2.2,0 0 0 0,60.7827,,-7.0058,12.4023,5.5963,60.7827,QC'd by InterBioScreen
230,17505782,2271808,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000574703-01,,Activator,3.9811,91.4586,,Partial curve; high efficacy,-5.4,3.2475,1,99.4586,8,2.1,0 0 0 1,6.0073,,8.2296,10.5074,84.5736,6.0073,QC'd by ChemBridge
231,17505930,751582,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589759-01,,Activator,11.2202,101.621,,Partial curve; partial efficacy,-4.95,1.1705,0.9829,85.2711,-16.3501,2.2,0 0 0 0,65.8804,,-19.4584,-2.6787,16.7604,65.8804,QC'd by InterBioScreen
232,17505932,751670,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589754-01,,Activator,10,67.2579,,Partial curve; partial efficacy,-5,4.9549,0.9908,66.491,-0.7669,2.2,0 0 0 0,66.1012,,-4.3694,3.2152,7.0444,66.1012,QC'd by InterBioScreen
233,17505951,751586,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589772-01,,Activator,12.5893,121.135,,Partial curve; high efficacy,-4.9,4.5045,0.9991,133.895,12.7598,2.1,0 0 0 0,132.047,,14.8062,10.5249,19.5868,132.047,QC'd by InterBioScreen
234,17506183,135498011,Active,70,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000591629-01,,Activator,3.5481,616.787,,Partial curve; high efficacy,-5.45,4.095,1,622.503,5.7159,2.1,0 0 0 1,220.676,,4.8003,15.8727,576.392,220.676,QC'd by InterBioScreen
235,17506248,760036,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000576484-01,,Activator,12.5893,256.929,,Partial curve; high efficacy,-4.9,4.5045,0.9979,254.595,-2.3334,2.1,0 0 0 0,251.08,,4.2977,-9.5461,11.5897,251.08,QC'd by ChemBridge
236,17506446,1292746,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000578857-01,,Activator,8.9125,61.3467,,Partial curve; partial efficacy,-5.05,1.9673,0.9838,75.3469,14.0001,2.2,0 0 0 0,70.9283,,17.8991,10.9271,36.3303,70.9283,QC'd by ChemBridge
237,17506534,5346381,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000571833-01,,Activator,11.2202,126.109,,Partial curve; high efficacy,-4.95,2.0937,0.9981,122.633,-3.4761,2.1,0 0 0 0,110.48,,-6.303,0.765,28.2367,110.48,QC'd by ChemBridge
238,17507063,3118982,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000553443-01,,Activator,12.5893,57.535,,Partial curve; partial efficacy,-4.9,4.9549,0.9909,66.035,8.5,2.2,0 0 0 0,65.5945,,11.9096,5.2859,10.7382,65.5945,QC'd by Asinex Ltd.
239,17507342,5441374,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000569111-01,,Activator,12.5893,156.387,,Partial curve; high efficacy,-4.9,4.095,0.9911,179.951,23.5639,2.1,0 0 0 0,177.466,,14.9564,32.409,33.5977,177.466,QC'd by Asinex Ltd.
240,17507359,5440144,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000566874-01,,Activator,19.9526,102.216,,Partial curve; high efficacy,-4.7,4.9549,0.9707,122.145,19.9292,2.1,0 0 0 0,114.368,,28.8563,21.7535,9.4777,114.368,QC'd by Asinex Ltd.
241,17507426,6185375,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000566941-01,,Activator,17.7828,516.543,,Partial curve; high efficacy,-4.75,4.095,1,523.735,7.1921,2.1,0 0 0 0,484.94,,5.4681,7.5955,15.3637,484.94,QC'd by Asinex Ltd.
242,17507438,3119402,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000566933-01,,Activator,12.5893,222.501,,Partial curve; high efficacy,-4.9,4.5045,0.9996,219.527,-2.9748,2.1,0 0 0 0,216.496,,-0.0747,-5.2508,7.9059,216.496,QC'd by Asinex Ltd.
243,17507573,2876499,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000561340-01,,Activator,10,113.664,,Partial curve; high efficacy,-5,3.99,1,110.55,-3.1141,2.1,0 0 0 0,109.672,,-3.0648,-2.754,15.2028,109.672,QC'd by Asinex Ltd.
244,17507695,3144995,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000555098-01,,Activator,6.3096,224.657,,Partial curve; high efficacy,-5.2,1.8265,0.9988,208.247,-16.41,2.1,0 0 0 0,192.822,,-13.675,-6.2773,101.991,192.822,QC'd by Asinex Ltd.
245,17507942,749095,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000562383-01,,Activator,15.8489,81.5791,,Partial curve; high efficacy,-4.8,4.095,0.9959,85.9856,4.4065,2.1,0 0 0 0,82.2062,,1.271,7.3336,6.4682,82.2062,QC'd by Asinex Ltd.
246,17508079,135427759,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000548802-01,,Activator,22.3872,250.081,,Partial curve; high efficacy,-4.65,4.9549,0.9938,263.531,13.4496,2.1,0 0 0 0,231.167,,7.0076,25.8975,9.0098,231.167,QC'd by Asinex Ltd.
247,17508203,3090189,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000561748-01,,Activator,7.9433,130.817,,Partial curve; high efficacy,-5.1,1.4163,0.9999,119.564,-11.2531,2.1,0 0 0 0,103.788,,-10.8101,-1.8277,45.708,103.788,QC'd by Asinex Ltd.
248,17508265,9591949,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000554582-01,,Activator,14.1254,87.5974,,Partial curve; partial efficacy,-4.85,1.4781,0.9914,90.4228,2.8254,2.2,0 0 0 0,71.9831,,0.2373,9.2851,22.8142,71.9831,QC'd by Asinex Ltd.
249,17508311,578058,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000553665-01,,Activator,12.5893,74.6672,,Partial curve; partial efficacy,-4.9,4.095,0.9915,80.4614,5.7942,2.2,0 0 0 0,78.846,,1.7883,9.8922,10.8111,78.846,QC'd by Asinex Ltd.
250,17508368,5892192,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000547819-01,,Activator,6.3096,210.846,,Partial curve; high efficacy,-5.2,1.8851,0.995,204.064,-6.7819,2.1,0 0 0 0,195.463,,2.3088,-3.9895,102.128,195.463,QC'd by Asinex Ltd.
251,17508425,135498054,Active,59,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000554568-01,,Activator,1.122,270.011,,Partial curve; high efficacy,-5.95,2.7202,1,266.079,-3.9316,2.1,0 0 0 1,-85.7207,,1.8614,159.46,263.967,-85.7207,QC'd by Asinex Ltd.
252,17508565,135477763,Active,51,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000548400-01,,Activator,2.8184,222.28,,Partial curve; high efficacy,-5.55,3.0654,0.9999,207.323,-14.9571,2.1,0 0 0 1,22.3868,,-15.0519,6.1163,191.966,22.3868,QC'd by Asinex Ltd.
253,17508598,3185139,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000561701-01,,Activator,17.7828,317.916,,Partial curve; high efficacy,-4.75,4.5045,0.9962,326.99,9.0733,2.1,0 0 0 0,307.9,,19.6039,-2.7954,12.3842,307.9,QC'd by Asinex Ltd.
254,17508619,5441368,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000567582-01,,Activator,19.9526,293.866,,Partial curve; high efficacy,-4.7,4.9549,0.9998,306.123,12.2565,2.1,0 0 0 0,283.447,,14.9462,11.0799,11.9789,283.447,QC'd by Asinex Ltd.
255,17508699,3138755,Active,95,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000548411-01,,Activator,2.8184,303.334,,Complete curve; high efficacy,-5.55,2.2481,0.9998,290.625,-12.7092,1.1,0 0 0 0,286.612,,-10.591,33.5429,252.915,286.612,QC'd by Asinex Ltd.
256,17508912,1435093,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000559354-01,,Activator,11.2202,81.6121,,Partial curve; high efficacy,-4.95,2.9523,0.9979,90.1121,8.5,2.1,0 0 0 0,86.8132,,6.7541,11.0086,22.371,86.8132,QC'd by Asinex Ltd.
